SEMESTER,ENSEMBLE-GROUP,PIECE-DIR,REL-PATH,PDF-COUNT,MSCZ-COUNT,SUBDIR-COUNT,SUBDIRS,SAMPLE-FILES,FLAGS
2026-1-Winter,OMEGA,Rachmaninoff-Prelude,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,4,0,0,,Rachmaninoff-Prelude-SCORE.pdf | Rachmaninoff-Prelude-CELLO.pdf | Rachmaninoff-Prelude-VIOLIN-1.pdf | Rachmaninoff-Prelude-VIOLA.pdf,
2026-1-Winter,PRE-ORCHESTRA,Musette,2026-1-Winter/PRE-ORCHESTRA/Musette,3,0,0,,Musette-Piano.pdf | Musette-Violins-2-4.pdf | Musette-Violin-1.pdf,
2026-2-Spring,ALPHA,Eine-Kleine-Nachtmusik,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Eine-Kleine-Nachtmusik,5,1,1,Eine-Kleine-MP3s,Eine-Kleine-REV-4-Viola.pdf | Eine-Kleine-REV-4-Violin-1.pdf | Eine-Kleine-REV-5-Cello-2.pdf | Eine-Kleine-REV-5-Cello-1.pdf | Eine-Kleine-REV-5-SCORE.pdf | Eine-Kleine-REV-5.mscz,
2026-2-Spring,ALPHA,Interstellar,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar,8,0,0,,Interstellar-Cello-2.pdf | Interstellar-Violin-1.pdf | Interstellar-FULL-SCORE.pdf | Interstellar-Cello-1.pdf | Interstellar-Violin-2.pdf | Interstellar-Vibraphone-1.pdf | Interstellar-Viola.pdf | Interstellar-Vibraphone-2.pdf,
2026-2-Spring,ALPHA,Star-Wars-Main-Theme,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,5,1,1,Star-Wars-Theme-MP3s,Star-Wars-Ver-3-SCORE.pdf | Star-Wars-Ver-3-Viola.pdf | Star-Wars-Ver-3-Cello-1.pdf | Star-Wars-Ver-3-Violin-2.pdf | Star-Wars-Ver-3-Cello-2.pdf | Star-Wars-Ver-3.mscz,
2026-2-Spring,OMEGA,Brandenburg-3-Mvt-3,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,8,1,3,IMSLP-JUNK--IGNORE | VER-3 | VER-4,Brandenburg-3-Mvt-3-Rev-5-Violin-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Cello.pdf | Brandenburg-3-Mvt-3-Rev-5-Violin-2.pdf | Brandenburg-3-Mvt-3-Rev-5-SCORE.pdf | Brandenburg-3-Mvt-3-Rev-6-Viola-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-2.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-3.pdf,HAS-SKIP-DIR:IMSLP-JUNK--IGNORE
2026-2-Spring,OMEGA,Kikis-Delivery-Service,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Kikis-Delivery-Service,5,0,2,PREP-VERSIONS-IGNORE | VERSION-1--IGNORE,Hisaishi-Kiki-VER-2-Violin-1.pdf | Hisaishi-Kiki-VER-2-Viola.pdf | Hisaishi-Kiki-VER-2-Violin-2.pdf | Hisaishi-Kiki-VER-2-Cello.pdf | Hisaishi-Kiki-VER-2-SCORE.pdf,HAS-SKIP-DIR:PREP-VERSIONS-IGNORE | HAS-SKIP-DIR:VERSION-1--IGNORE
2026-2-Spring,OMEGA,Tchaikovsky-Andante,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,6,0,0,,Tchai-Andante-Full-Score.pdf | Tchai-Andante-Violin-2.pdf | Tchai-Andante-Violin-1.pdf | Tchai-Andante-Bass-(Cello-2).pdf | Tchai-Andante-Viola.pdf | Tchai-Andante-Cello.pdf,
MUSESCORE-MSCZ-FILES,,2025-SPRING,MUSESCORE-MSCZ-FILES/2025-SPRING,0,6,2,ISAAC-REWRITES | JAMES-ORIG,symphony_3_2ndmov_Saint-Saens_Fullscore_WITH_CUT.mscz | Game-Thrones-JAMES-ORIG.mscz | William-Tell-Overture-SRYSO.mscz | Symphony No. 3_SRYSO.mscz | Saint-Saens-3-Mov-2-VER-1.mscz | William-Tell-VER-1.mscz,
MUSESCORE-MSCZ-FILES,,2025-WINTER,MUSESCORE-MSCZ-FILES/2025-WINTER,0,2,2,Score-Originals-James | Winter 2025_ James_Originals,Tannhauser-Overture-SRYSO-James.mscz | Jurassic-Park-SRYSO-James.mscz,
